metric,value
MAE,12168235.051371785
RMSE,19017664.94306778
MAPE,17.26282128186162
R2,0.865488246479925
Median Absolute Error,7720812.830333369
Median Percentage Error,15.429163220748565
Mean Signed Error,-9351918.119469421
Mean Signed Percentage Error,-9.405234425881135
Test Rows,6422.0
