model,description,mape,r2,mae,rmse
baseline_current,駅特徴量なし,17.760630252685804,0.854648348964061,12535969.340451056,19769107.323360562
station_geo_line,駅特徴量あり,17.26282128186162,0.865488246479925,12168235.051371789,19017664.94306778
