price_band,count,actual_average,predicted_average,mae,mape,signed_error_percent
"3,000万円未満",1406,19425106.685633,19405791.174507193,3419413.429609425,18.527848044730906,2.2568013360707186
"3,000〜5,000万円",1445,39357093.425605536,36129272.81977303,6180429.770006984,15.735141072931794,-8.125382021472515
"5,000〜7,000万円",1162,58546471.600688465,51074082.89108766,9368524.86140618,16.010657129329392,-12.70502160517174
"7,000万円〜1億円",1117,82499552.37242614,71417090.83392787,13680827.188339224,16.546593262898277,-13.472562600268844
"1億〜1億5,000万円",800,119350000.0,100250166.90902579,21994627.52744973,18.316625675208922,-15.74995699079841
"1億5,000万円以上",492,197865853.65853658,159197625.838773,41956457.96733739,21.004423316528317,-19.146845565340865
