feature_set,feature_count,uses_station,validation_mae,validation_rmse,validation_mape,validation_r2,best_iteration
station_geo_line,13,True,11379289.501028044,18785747.009861838,16.636543570863687,0.8567383077959493,3000
station_geo,12,True,11425392.94738585,18860418.441973943,16.682254756132185,0.8555971430005769,3000
station_name,10,True,11534026.438346539,19027531.335727647,16.90861748385141,0.8530268407134739,3000
baseline_current,9,False,11684462.077386646,19333302.997129016,17.188864173514173,0.8482651803471453,2996
